date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:07	180148/180148	---M--	200	added ('OK')	application/octet-stream	etag:%226389c312-2bfb4%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-brands-400.ttf	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:07	23900/23900	---M--	200	added ('OK')	application/font-woff2	etag:%226389c312-5d5c%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-regular-400.woff2	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:07	60380/60380	---M--	200	added ('OK')	application/octet-stream	etag:%226389c312-ebdc%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-regular-400.ttf	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:08	126828/126828	---M--	200	added ('OK')	application/font-woff2	etag:%226389c312-1ef6c%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-solid-900.woff2	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:08	4956/4956	---M--	200	added ('OK')	application/font-woff2	etag:%226389c312-135c%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-v4compatibility.woff2	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-v4compatibility.woff2	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:08	303480/303480	---M--	200	added ('OK')	application/octet-stream	etag:%226389c312-4a178%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-solid-900.ttf	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:08	10556/10556	---M--	200	added ('OK')	application/octet-stream	etag:%226389c312-293c%22	https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-v4compatibility.ttf	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/webfonts/fa-v4compatibility.ttf	(from https://html.tavonline.co/hagen/classic-version/icon-fonts/font-awesome/css/all.min.css)
16:08:08	7094/7094	---MCZ	200	added ('OK')	text/html	etag:W/%226389c313-1bb6%22	https://html.tavonline.co/hagen/classic-version/work-1.html	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/work-1.html	(from https://html.tavonline.co/hagen/classic-version/portfolio.html)
16:08:09	127731/127731	---M--	200	added ('OK')	image/jpeg	etag:%226389c312-1f2f3%22	https://html.tavonline.co/hagen/classic-version/images/works/work-1/01.jpg	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/images/works/work-1/01.jpg	(from https://html.tavonline.co/hagen/classic-version/portfolio.html)
16:08:09	7546/7546	---MCZ	200	added ('OK')	text/html	etag:W/%226389c313-1d7a%22	https://html.tavonline.co/hagen/classic-version/work-2.html	C:/My%20Web%20Sites/workman/html.tavonline.co/hagen/classic-version/work-2.html	(from https://html.tavonline.co/hagen/classic-version/portfolio.html)
